"","bidirectId","centrality_pre","centrality_post","geom_length","pre_scenario","post_scenario"
"28382",78535,1830,1097,0.0975588759760987,"[726-2114]","[726-2114]"
"28383",78535,1830,1097,0.0975588759760987,"[726-2114]","[726-2114]"
"28384",78536,1731,1002,0.0669893458267539,"[726-2114]","[726-2114]"
"28385",78536,1731,1002,0.0669893458267539,"[726-2114]","[726-2114]"
"28386",78536,1731,1002,0.0669893458267539,"[726-2114]","[726-2114]"
"28387",78536,1731,1002,0.0669893458267539,"[726-2114]","[726-2114]"
"28388",78538,1870,1141,0.0491203720396199,"[726-2114]","[726-2114]"
"28389",78538,1870,1141,0.0491203720396199,"[726-2114]","[726-2114]"
"28390",78538,1870,1141,0.0491203720396199,"[726-2114]","[726-2114]"
"28391",78538,1870,1141,0.0491203720396199,"[726-2114]","[726-2114]"
"28392",78540,1870,1141,0.0120788472251786,"[726-2114]","[726-2114]"
"28393",78540,1870,1141,0.0120788472251786,"[726-2114]","[726-2114]"
"28394",78540,1870,1141,0.0120788472251786,"[726-2114]","[726-2114]"
"28395",78540,1870,1141,0.0120788472251786,"[726-2114]","[726-2114]"
"28396",78541,1870,1141,0.0770041658646953,"[726-2114]","[726-2114]"
"28397",78541,1870,1141,0.0770041658646953,"[726-2114]","[726-2114]"
"28398",78541,1870,1141,0.0770041658646953,"[726-2114]","[726-2114]"
"28399",78541,1870,1141,0.0770041658646953,"[726-2114]","[726-2114]"
"28400",78543,1844,1115,0.0194082821850487,"[726-2114]","[726-2114]"
"28401",78543,1844,1115,0.0194082821850487,"[726-2114]","[726-2114]"
"28402",78543,1844,1115,0.0194082821850487,"[726-2114]","[726-2114]"
"28403",78543,1844,1115,0.0194082821850487,"[726-2114]","[726-2114]"
"28404",78546,1734,1402,0.0540539739482785,"[726-2114]","[726-2114]"
"28405",78546,1734,1402,0.0540539739482785,"[726-2114]","[726-2114]"
"28406",78546,1734,1402,0.0540539739482785,"[726-2114]","[726-2114]"
"28407",78546,1734,1402,0.0540539739482785,"[726-2114]","[726-2114]"
"28408",78549,2263,0,0.0800511561412831,"[2114-4870]","[0]"
"28409",78549,2263,0,0.0800511561412831,"[2114-4870]","[0]"
"28410",78553,1271,143,0.0323198172733242,"[726-2114]","[1-726]"
"28411",78553,1271,143,0.0323198172733242,"[726-2114]","[1-726]"
"28412",78553,1271,143,0.0323198172733242,"[726-2114]","[1-726]"
"28413",78553,1271,143,0.0323198172733242,"[726-2114]","[1-726]"
"28414",78555,1271,143,0.0229157796739817,"[726-2114]","[1-726]"
"28415",78555,1271,143,0.0229157796739817,"[726-2114]","[1-726]"
"28416",78555,1271,143,0.0229157796739817,"[726-2114]","[1-726]"
"28417",78555,1271,143,0.0229157796739817,"[726-2114]","[1-726]"
"28418",78558,1258,771,0.157378823726549,"[726-2114]","[726-2114]"
"28419",78558,1258,771,0.157378823726549,"[726-2114]","[726-2114]"
"28420",78558,1258,771,0.157378823726549,"[726-2114]","[726-2114]"
"28421",78558,1258,771,0.157378823726549,"[726-2114]","[726-2114]"
"28422",78559,1258,771,0.150069371076438,"[726-2114]","[726-2114]"
"28423",78559,1258,771,0.150069371076438,"[726-2114]","[726-2114]"
"28424",78559,1258,771,0.150069371076438,"[726-2114]","[726-2114]"
"28425",78559,1258,771,0.150069371076438,"[726-2114]","[726-2114]"
"28426",78563,434,443,0.626035347847153,"[1-726]","[1-726]"
"28427",78563,434,443,0.626035347847153,"[1-726]","[1-726]"
"28428",78563,434,443,0.626035347847153,"[1-726]","[1-726]"
"28429",78563,434,443,0.626035347847153,"[1-726]","[1-726]"
"28430",78564,434,443,0.126746710985602,"[1-726]","[1-726]"
"28431",78564,434,443,0.126746710985602,"[1-726]","[1-726]"
"28432",78564,434,443,0.126746710985602,"[1-726]","[1-726]"
"28433",78564,434,443,0.126746710985602,"[1-726]","[1-726]"
"28434",78565,1258,771,0.157881346163871,"[726-2114]","[726-2114]"
"28435",78565,1258,771,0.157881346163871,"[726-2114]","[726-2114]"
"28436",78565,1258,771,0.157881346163871,"[726-2114]","[726-2114]"
"28437",78565,1258,771,0.157881346163871,"[726-2114]","[726-2114]"
"28438",78567,851,846,0.0583525875457609,"[726-2114]","[726-2114]"
"28439",78567,851,846,0.0583525875457609,"[726-2114]","[726-2114]"
"28440",78567,851,846,0.0583525875457609,"[726-2114]","[726-2114]"
"28441",78567,851,846,0.0583525875457609,"[726-2114]","[726-2114]"
"28442",78571,1692,1386,0.0177646865414412,"[726-2114]","[726-2114]"
"28443",78571,1692,1386,0.0177646865414412,"[726-2114]","[726-2114]"
"28444",78571,1692,1386,0.0177646865414412,"[726-2114]","[726-2114]"
"28445",78571,1692,1386,0.0177646865414412,"[726-2114]","[726-2114]"
"28446",78572,1692,1386,0.074219345017395,"[726-2114]","[726-2114]"
"28447",78572,1692,1386,0.074219345017395,"[726-2114]","[726-2114]"
"28448",78572,1692,1386,0.074219345017395,"[726-2114]","[726-2114]"
"28449",78572,1692,1386,0.074219345017395,"[726-2114]","[726-2114]"
"28450",78573,924,521,0.111590936601749,"[726-2114]","[1-726]"
"28451",78573,924,521,0.111590936601749,"[726-2114]","[1-726]"
"28452",78573,924,521,0.111590936601749,"[726-2114]","[1-726]"
"28453",78573,924,521,0.111590936601749,"[726-2114]","[1-726]"
"28454",78576,1715,990,0.020558307593779,"[726-2114]","[726-2114]"
"28455",78576,1715,990,0.020558307593779,"[726-2114]","[726-2114]"
"28456",78576,1715,990,0.020558307593779,"[726-2114]","[726-2114]"
"28457",78576,1715,990,0.020558307593779,"[726-2114]","[726-2114]"
"28458",78590,434,443,0.0909138757641128,"[1-726]","[1-726]"
"28459",78590,434,443,0.0909138757641128,"[1-726]","[1-726]"
"28460",78590,434,443,0.0909138757641128,"[1-726]","[1-726]"
"28461",78590,434,443,0.0909138757641128,"[1-726]","[1-726]"
"28462",78593,1192,688,0.0709063457197966,"[726-2114]","[1-726]"
"28463",78593,1192,688,0.0709063457197966,"[726-2114]","[1-726]"
"28464",78593,1192,688,0.0709063457197966,"[726-2114]","[1-726]"
"28465",78593,1192,688,0.0709063457197966,"[726-2114]","[1-726]"
"28466",78596,1192,688,0.0715968106267502,"[726-2114]","[1-726]"
"28467",78596,1192,688,0.0715968106267502,"[726-2114]","[1-726]"
"28468",78596,1192,688,0.0715968106267502,"[726-2114]","[1-726]"
"28469",78596,1192,688,0.0715968106267502,"[726-2114]","[1-726]"
"28470",78606,319,318,0.092507773546229,"[1-726]","[1-726]"
"28471",78606,319,318,0.092507773546229,"[1-726]","[1-726]"
"28472",78606,319,318,0.092507773546229,"[1-726]","[1-726]"
"28473",78606,319,318,0.092507773546229,"[1-726]","[1-726]"
"28474",78608,31,31,0.392885049300053,"[1-726]","[1-726]"
"28475",78609,350,349,0.0706568545209117,"[1-726]","[1-726]"
"28476",78609,350,349,0.0706568545209117,"[1-726]","[1-726]"
"28477",78609,350,349,0.0706568545209117,"[1-726]","[1-726]"
"28478",78609,350,349,0.0706568545209117,"[1-726]","[1-726]"
"28479",78616,256,0,0.245007029110314,"[1-726]","[0]"
"28480",78616,256,0,0.245007029110314,"[1-726]","[0]"
"28481",78617,431,428,0.15033191861677,"[1-726]","[1-726]"
"28482",78617,431,428,0.15033191861677,"[1-726]","[1-726]"
"28483",78617,431,428,0.15033191861677,"[1-726]","[1-726]"
"28484",78617,431,428,0.15033191861677,"[1-726]","[1-726]"
"28485",78618,217,258,0.00986775398083421,"[1-726]","[1-726]"
"28486",78618,217,258,0.00986775398083421,"[1-726]","[1-726]"
"28487",78618,217,258,0.00986775398083421,"[1-726]","[1-726]"
"28488",78618,217,258,0.00986775398083421,"[1-726]","[1-726]"
"28489",78624,244,133,0.0785519371322006,"[1-726]","[1-726]"
"28490",78624,244,133,0.0785519371322006,"[1-726]","[1-726]"
"28491",78624,244,133,0.0785519371322006,"[1-726]","[1-726]"
"28492",78624,244,133,0.0785519371322006,"[1-726]","[1-726]"
"28493",78625,177,86,0.0726125012179658,"[1-726]","[1-726]"
"28494",78625,177,86,0.0726125012179658,"[1-726]","[1-726]"
"28495",78625,177,86,0.0726125012179658,"[1-726]","[1-726]"
"28496",78625,177,86,0.0726125012179658,"[1-726]","[1-726]"
"28497",78626,177,86,0.069396097051532,"[1-726]","[1-726]"
"28498",78626,177,86,0.069396097051532,"[1-726]","[1-726]"
"28499",78626,177,86,0.069396097051532,"[1-726]","[1-726]"
"28500",78626,177,86,0.069396097051532,"[1-726]","[1-726]"
"28501",78627,177,86,0.0733469194836237,"[1-726]","[1-726]"
"28502",78627,177,86,0.0733469194836237,"[1-726]","[1-726]"
"28503",78627,177,86,0.0733469194836237,"[1-726]","[1-726]"
"28504",78627,177,86,0.0733469194836237,"[1-726]","[1-726]"
"28505",78629,473,341,0.233878439036926,"[1-726]","[1-726]"
"28506",78629,473,341,0.233878439036926,"[1-726]","[1-726]"
"28507",78629,473,341,0.233878439036926,"[1-726]","[1-726]"
"28508",78629,473,341,0.233878439036926,"[1-726]","[1-726]"
"28509",78640,16,16,0.0564877007210087,"[1-726]","[1-726]"
"28510",78648,151,131,0.115859793107327,"[1-726]","[1-726]"
"28511",78648,151,131,0.115859793107327,"[1-726]","[1-726]"
"28512",78648,151,131,0.115859793107327,"[1-726]","[1-726]"
"28513",78648,151,131,0.115859793107327,"[1-726]","[1-726]"
"28514",78653,244,133,0.0753038348210506,"[1-726]","[1-726]"
"28515",78653,244,133,0.0753038348210506,"[1-726]","[1-726]"
"28516",78653,244,133,0.0753038348210506,"[1-726]","[1-726]"
"28517",78653,244,133,0.0753038348210506,"[1-726]","[1-726]"
"28518",78657,187,105,0.0877541524426404,"[1-726]","[1-726]"
"28519",78657,187,105,0.0877541524426404,"[1-726]","[1-726]"
